订单号,订单重量(t),坯料钢种,订单直径(mm),订单定尺(mm),所有密度为9.86 g/cm^3
A20260169,30.505,GB40,28.00 ,4900,
A20260170,18.316,GB40,28.00 ,4900,
A20260171,68.211,GB40,28.00 ,4900,
A20260172,38.945,GB40,28.00 ,4900,
A20260173,22.178,GB40,28.00 ,10680,
A20260174,52.940,GB40,28.00 ,4700,
A20260175,92.400,GB40,28.00 ,4950,
A20260176,22.360,GB40,28.00 ,6100,
A20260177,142.100,GB40,28.00 ,6100,
A20260178,72.025,GB40,28.00 ,6100,
A20260179,38.957,GB40,28.00 ,6100,
A20260180,33.793,GB40,28.00 ,6100,
A20260181,125.240,GB40,28.00 ,6100,
A20260182,55.229,GB40,28.00 ,6100,
A20260183,22.148,GB40,28.00 ,5018,
A20260184,96.331,GB40,28.00 ,6100,
A20260185,51.070,GB40,28.00 ,6100,
A20260186,50.974,GB40,28.00 ,4900,
A20260187,30.680,GB40,28.00 ,5000,
A20260188,75.700,GB40,28.00 ,5000,
A20260189,51.000,GB40,28.00 ,5000,
A20260190,44.119,GB40,28.00 ,5100,
A20260191,26.246,GB40,28.00 ,5200,
A20260192,17.578,GB40,28.00 ,5200,
A20260193,22.405,GB40,28.00 ,6400,
A20260194,22.312,GB40,28.00 ,6400,
A20260195,29.594,GB40,28.00 ,6400,
A20260196,60.386,GB40,28.00 ,6400,
A20260197,48.530,GB40,28.00 ,6400,
A20260198,48.526,GB40,28.00 ,6400,
A20260199,79.354,GB40,28.00 ,6400,
A20260200,63.534,GB40,28.00 ,4900,
A20260201,71.110,GB40,28.00 ,4900,
A20260202,35.368,GB40,28.00 ,6400,
A20260203,52.623,GB40,28.00 ,4900,
A20260204,19.960,GB40,28.00 ,4900,
A20260205,34.160,GB40,28.00 ,4900,
A20260206,35.358,GB40,28.00 ,4900,
A20260207,16.080,GB40,28.00 ,4900,
A20260208,34.364,GB40,28.00 ,4900,
A20260209,72.190,GB40,28.00 ,6400,
A20260210,73.631,GB40,28.00 ,7750,
A20260211,100.935,GB40,28.00 ,7750,
A20260212,45.725,GB40,28.00 ,7750,
A20260213,138.900,GB40,28.00 ,7750,
A20260214,138.910,GB40,28.00 ,7750,
A20260215,138.950,GB40,28.00 ,7750,
A20260216,138.920,GB40,28.00 ,7750,
A20260217,138.890,GB40,28.00 ,7750,
A20260218,34.934,GB40,28.00 ,4900,
A20260219,69.800,GB40,28.00 ,4900,
A20260220,22.178,GB40,28.00 ,4900,
A20260221,45.434,GB40,28.00 ,7000,
A20260222,27.986,GB40,28.00 ,5900,
A20260223,27.980,GB40,28.00 ,4400,
A20260224,21.946,GB40,28.00 ,7000,
A20260225,21.964,GB40,28.00 ,7000,
A20260226,51.930,GB40,28.00 ,5900,
A20260227,22.000,GB40,28.00 ,7000,
A20260228,21.974,GB40,28.00 ,7000,
A20260229,82.020,GB40,28.00 ,7000,
A20260230,40.066,GB40,28.00 ,7000,
A20260231,22.020,GB40,28.00 ,7000,
A20260232,52.006,GB40,28.00 ,7000,
A20260233,52.074,GB40,28.00 ,5900,
A20260234,21.986,GB40,28.00 ,5900,
A20260235,33.994,GB40,28.00 ,5900,
A20260236,22.000,GB40,28.00 ,5900,
A20260237,93.540,GB40,28.00 ,5900,
A20260238,73.614,GB40,28.00 ,8050,
A20260239,51.169,GB40,28.00 ,8050,
A20260240,17.546,GB40,28.00 ,5900,
A20260241,34.720,GB40,28.00 ,4900,
A20260242,30.316,GB40,28.00 ,4900,
A20260243,26.430,GB40,28.00 ,4900,
A20260244,104.770,GB40,28.00 ,4900,
A20260245,49.660,GB40,28.00 ,4900,
A20260246,41.738,GB40,28.00 ,4900,
A20260247,120.560,GB40,28.00 ,4900,
A20260248,136.180,GB40,28.00 ,4900,
A20260249,136.240,GB40,28.00 ,4900,
A20260250,89.108,GB40,28.00 ,4900,
A20260251,83.930,GB40,28.00 ,6100,
A20260252,125.060,GB40,28.00 ,6100,
A20260253,141.600,GB40,28.00 ,6100,
A20260254,125.220,GB40,28.00 ,6100,
A20260255,108.928,GB40,28.00 ,6100,
A20260256,108.934,GB40,28.00 ,6100,
A20260257,109.024,GB40,28.00 ,6100,
A20260258,26.516,GB40,28.00 ,5060,
A20260259,125.420,GB40,28.00 ,5060,
A20260260,22.172,GB40,28.00 ,7240,
A20260261,142.080,GB40,28.00 ,6100,
A20260262,142.040,GB40,28.00 ,6100,
A20260263,125.540,GB40,28.00 ,6100,
A20260264,100.618,GB40,28.00 ,6100,
A20260265,34.722,GB40,28.00 ,4900,
A20260266,125.700,GB40,28.00 ,4900,
A20260267,125.480,GB40,28.00 ,4900,
A20260268,38.889,GB40,28.00 ,4900,
A20260269,96.671,GB40,28.00 ,5600,
A20260270,141.820,GB40,28.00 ,5600,
A20260271,36.488,GB40,28.00 ,11400,
A20260272,34.670,GB40,28.00 ,4900,
A20260273,126.060,GB40,28.00 ,4900,
A20260274,17.540,GB40,28.00 ,8280,
A20260275,36.397,GB40,28.00 ,8280,
A20260276,41.905,GB40,28.00 ,4900,
A20260277,34.852,GB40,28.00 ,4900,
A20260278,79.710,GB40,28.00 ,4900,
A20260279,13.370,GB40,28.00 ,4900,
A20260280,42.776,GB40,28.00 ,4900,
A20260281,67.054,GB40,28.00 ,4500,
A20260282,48.178,GB40,28.00 ,4500,
A20260283,41.815,GB40,28.00 ,4700,
A20260284,95.387,GB40,28.00 ,4900,
A20260285,107.440,GB40,28.00 ,5150,
A20260286,46.273,GB40,28.00 ,4900,
A20260287,22.168,GB40,28.00 ,5360,
A20260288,22.187,GB40,28.00 ,8230,
A20260289,28.267,GB40,28.00 ,11050,
A20260290,22.178,GB40,28.00 ,8400,
A20260291,46.534,GB40,28.00 ,6780,
A20260292,34.336,GB40,28.00 ,7960,
A20260293,22.168,GB40,28.00 ,6840,
A20260294,46.500,GB40,28.00 ,9000,
A20260295,52.588,GB40,28.00 ,8900,
A20260296,22.560,GB40,28.00 ,6400,
A20260297,41.605,GB40,28.00 ,4900,
A20260298,34.328,GB40,28.00 ,4900,
A20260299,58.387,GB40,28.00 ,4900,
A20260300,70.480,GB40,28.00 ,4900,
A20260301,38.952,GB40,28.00 ,4900,
A20260302,143.311,GB40,28.00 ,4500,
A20260303,28.276,GB40,28.00 ,5400,
A20260304,46.575,GB40,28.00 ,4900,
A20260305,22.192,GB40,28.00 ,4900,
A20260306,46.229,GB40,28.00 ,4900,
A20260307,25.162,GB40,28.00 ,6900,
A20260308,41.496,GB40,28.00 ,4900,
A20260309,21.960,GB40,28.00 ,5900,
A20260310,33.993,GB40,28.00 ,5900,
A20260311,33.967,GB40,28.00 ,5900,
A20260312,45.960,GB40,28.00 ,6900,
A20260313,21.986,GB40,28.00 ,6900,
A20260314,27.960,GB40,28.00 ,7000,
A20260315,21.946,GB40,28.00 ,7000,
A20260316,87.874,GB40,28.00 ,7000,
A20260317,75.666,GB40,28.00 ,7000,
A20260318,81.693,GB40,28.00 ,7000,
A20260319,22.026,GB40,28.00 ,7000,
A20260320,40.021,GB40,28.00 ,7000,
A20260321,64.033,GB40,28.00 ,7000,
A20260322,21.960,GB40,28.00 ,7000,
A20260323,52.020,GB40,28.00 ,7000,
A20260324,16.013,GB40,28.00 ,5900,
A20260325,40.027,GB40,28.00 ,5900,
A20260326,22.010,GB40,28.00 ,5900,
A20260327,40.010,GB40,28.00 ,5900,
A20260328,64.060,GB40,28.00 ,5900,
A20260329,22.014,GB40,28.00 ,5900,
A20260330,70.040,GB40,28.00 ,5900,
A20260331,28.020,GB40,28.00 ,5900,
A20260332,22.000,GB40,28.00 ,5900,
A20260333,75.960,GB40,28.00 ,5900,
A20260334,22.026,GB40,28.00 ,5900,
A20260335,34.014,GB40,28.00 ,5900,
A20260336,51.960,GB40,28.00 ,5900,
A20260337,21.926,GB40,28.00 ,5900,
A20260338,34.014,GB40,28.00 ,5900,
A20260339,22.006,GB40,28.00 ,4900,
A20260340,39.985,GB40,28.00 ,4900,
A20260341,89.700,GB40,28.00 ,6400,
A20260342,121.580,GB40,28.00 ,5400,
A20260343,27.849,GB40,28.00 ,5900,
A20260344,22.040,GB40,28.00 ,5900,
A20260345,94.080,GB40,28.00 ,5900,
A20260346,21.920,GB40,28.00 ,5900,
A20260347,27.840,GB40,28.00 ,5900,
A20260348,16.113,GB40,28.00 ,5900,
A20260349,57.844,GB40,28.00 ,5900,
A20260350,45.690,GB40,28.00 ,7000,
A20260351,22.014,GB40,28.00 ,6900,
A20260352,39.940,30C,45.00 ,6900,
A20260353,40.059,30C,45.00 ,5900,
A20260354,52.300,30C,45.00 ,4900,
A20260355,25.045,30C,45.00 ,4900,
A20260356,45.080,30C,45.00 ,4900,
A20260357,105.640,30C,45.00 ,4901,
A20260358,53.868,30C,45.00 ,4901,
A20260359,22.282,30C,45.00 ,7900,
A20260360,21.385,30C,45.00 ,4940,
A20260361,36.537,30C,45.00 ,4900,
A20260362,129.980,30C,45.00 ,4900,
A20260363,129.860,30C,45.00 ,4900,
A20260364,129.940,30C,45.00 ,4900,
A20260365,39.968,30C,45.00 ,4900,
A20260366,21.841,30C,45.00 ,5970,
A20260367,16.489,30C,45.00 ,5970,
A20260368,61.389,30C,45.00 ,5900,
A20260369,61.116,30C,45.00 ,5700,
A20260370,34.288,30C,45.00 ,5220,
A20260371,41.615,30C,45.00 ,4900,
A20260372,72.649,30C,45.00 ,4901,
A20260373,67.862,30C,45.00 ,4901,
A20260374,67.858,30C,45.00 ,4901,
A20260375,59.464,30C,45.00 ,4901,
A20260376,59.464,30C,45.00 ,4901,
A20260377,25.804,30C,45.00 ,6400,
A20260378,102.488,30C,45.00 ,6400,
A20260379,91.944,30C,45.00 ,5000,
A20260380,34.588,30C,45.00 ,5000,
A20260381,16.363,30C,45.00 ,4600,
A20260382,59.060,30C,45.00 ,6350,
A20260383,89.920,30C,45.00 ,6350,
A20260384,25.084,30C,45.00 ,10900,
A20260385,58.720,30C,45.00 ,6540,
A20260386,71.791,30C,45.00 ,4900,
A20260387,51.530,30C,45.00 ,4901,
A20260388,77.792,30C,45.00 ,4901,
A20260389,22.441,30C,45.00 ,4901,
A20260390,100.152,30C,45.00 ,4900,
A20260391,26.388,30C,45.00 ,4900,
A20260392,13.853,30C,45.00 ,6400,
A20260393,29.265,30C,45.00 ,6400,
A20260394,133.500,30C,45.00 ,6400,
A20260395,29.270,30C,45.00 ,6400,
A20260396,108.332,30C,45.00 ,4900,
A20260397,22.291,30C,45.00 ,4900,
A20260398,22.262,30C,45.00 ,5995,
A20260399,34.350,30C,45.00 ,5330,
A20260400,71.160,30C,45.00 ,5330,
A20260401,58.930,30C,45.00 ,5080,
A20260402,58.960,30C,45.00 ,5080,
A20260403,55.364,30C,45.00 ,6100,
A20260404,40.646,30C,45.00 ,4900,
A20260405,22.261,30C,45.00 ,4900,
A20260406,35.028,30C,45.00 ,5300,
A20260407,101.370,30C,45.00 ,4901,
A20260408,34.876,30C,45.00 ,4901,
A20260409,52.931,30C,45.00 ,4750,
A20260410,40.665,30C,45.00 ,4525,
A20260411,65.204,30C,45.00 ,4780,
A20260412,40.360,30C,45.00 ,4900,
A20260413,34.600,30C,45.00 ,4950,
A20260414,34.373,30C,45.00 ,5400,
A20260415,40.400,30C,45.00 ,5400,
A20260416,46.540,30C,45.00 ,5400,
A20260417,34.347,30C,45.00 ,5400,
A20260418,21.851,30C,45.00 ,6400,
A20260419,25.728,30C,45.00 ,6400,
A20260420,37.516,30C,45.00 ,6400,
A20260421,35.512,30C,45.00 ,6400,
A20260422,101.224,30C,45.00 ,4901,
A20260423,30.730,30C,45.00 ,4901,
A20260424,73.310,30C,45.00 ,6400,
A20260425,16.293,30C,45.00 ,5900,
A20260426,47.749,30C,45.00 ,4900,
A20260427,22.586,30C,45.00 ,4900,
A20260428,84.628,30C,45.00 ,4900,
A20260429,30.680,30C,45.00 ,4900,
A20260430,48.273,30C,45.00 ,4901,
A20260431,48.280,30C,45.00 ,4901,
A20260432,60.487,30C,45.00 ,6400,
A20260433,122.397,30C,45.00 ,4900,
A20260434,16.423,30C,45.00 ,4900,
A20260435,144.800,30C,45.00 ,4900,
A20260436,129.900,30C,45.00 ,4900,
A20260437,99.880,30C,45.00 ,4900,
A20260438,21.253,30C,45.00 ,4900,
A20260439,39.960,30C,45.00 ,4900,
A20260440,22.642,30C,45.00 ,4900,
A20260441,16.094,30C,45.00 ,6400,
A20260442,45.433,30C,45.00 ,4900,
A20260443,49.510,30C,45.00 ,4900,
A20260444,49.984,30C,45.00 ,4900,
A20260445,44.986,30C,45.00 ,4900,
A20260446,29.089,30C,45.00 ,4500,
A20260447,64.800,30C,45.00 ,8150,
A20260448,22.180,30C,45.00 ,7200,
A20260449,52.637,30C,45.00 ,7080,
A20260450,118.787,30C,45.00 ,4900,
A20260451,100.012,30C,45.00 ,4900,
A20260452,40.008,30C,45.00 ,4900,
A20260453,130.120,30C,45.00 ,4900,
A20260454,85.310,30C,45.00 ,4900,
A20260455,32.590,30C,45.00 ,4900,
A20260456,24.852,30C,45.00 ,4900,
A20260457,24.852,30C,45.00 ,4900,
A20260458,24.852,30C,45.00 ,4900,
A20260459,24.852,30C,45.00 ,4900,
A20260460,54.542,30C,45.00 ,4900,
A20260461,63.327,30C,45.00 ,4900,
A20260462,29.590,30C,45.00 ,4900,
A20260463,36.663,30C,45.00 ,4900,
A20260464,28.740,30C,45.00 ,4900,
A20260465,28.740,30C,45.00 ,4900,
A20260466,28.740,30C,45.00 ,4900,
A20260467,66.220,30C,45.00 ,4900,
A20260468,16.425,30C,45.00 ,4900,
A20260469,95.400,30C,45.00 ,4900,
A20260470,138.130,30C,45.00 ,4900,
A20260471,58.784,30C,45.00 ,4900,
A20260472,83.176,30C,45.00 ,4900,
A20260473,34.580,30C,45.00 ,4900,
A20260474,28.435,30C,45.00 ,4900,
A20260475,65.305,30C,45.00 ,4900,
A20260476,40.455,30C,45.00 ,7400,
A20260477,40.455,30C,45.00 ,6600,
A20260478,40.415,30C,45.00 ,6300,
A20260479,46.498,30C,45.00 ,10900,
A20260480,22.180,30C,45.00 ,11000,
A20260481,40.168,30C,45.00 ,8970,
A20260482,43.947,30C,45.00 ,8970,
A20260483,23.156,30C,45.00 ,8100,
A20260484,44.529,30C,45.00 ,8780,
A20260485,55.400,30C,45.00 ,9340,
A20260486,59.348,30C,45.00 ,9340,
A20260487,20.576,30C,45.00 ,9340,
A20260488,70.827,30C,45.00 ,10000,
A20260489,40.385,30C,45.00 ,10060,
A20260490,40.385,30C,45.00 ,10060,
A20260491,40.385,30C,45.00 ,5300,
A20260492,22.182,30C,45.00 ,5300,
A20260493,22.191,30C,45.00 ,5200,
A20260494,34.328,30C,45.00 ,4900,
A20260495,55.584,30C,45.00 ,4900,
A20260496,34.870,30C,45.00 ,4900,
A20260497,30.725,30C,45.00 ,3800,
A20260498,49.984,30C,45.00 ,4600,
A20260499,30.050,30C,45.00 ,4900,
A20260500,45.378,30C,45.00 ,4900,
A20260501,15.826,30C,45.00 ,6000,
A20260502,16.065,30C,45.00 ,4900,
A20260503,110.100,30C,45.00 ,4900,
A20260504,22.610,30C,45.00 ,6400,
A20260505,58.683,30C,45.00 ,6400,
A20260506,26.492,30C,45.00 ,4900,
A20260507,51.290,30C,45.00 ,4900,
A20260508,51.290,30C,45.00 ,4900,
A20260509,43.040,30C,45.00 ,4900,
A20260510,47.170,30C,45.00 ,4900,
A20260511,62.444,30C,45.00 ,4900,
A20260512,72.288,30C,45.00 ,6400,
A20260513,30.722,30C,45.00 ,4900,
A20260514,76.320,30C,45.00 ,4900,
A20260515,30.725,30C,45.00 ,4901,
A20260516,59.188,30C,45.00 ,4901,
A20260517,50.990,30C,45.00 ,4901,
A20260518,48.280,30C,45.00 ,6400,
A20260519,48.280,30C,45.00 ,6400,
A20260520,124.830,30C,45.00 ,6400,
A20260521,29.128,30C,45.00 ,6400,
A20260522,143.730,30C,45.00 ,6400,
A20260523,86.488,30C,45.00 ,6400,
A20260524,22.560,30C,45.00 ,5550,
A20260525,26.588,30C,45.00 ,6700,
A20260526,26.588,30C,45.00 ,5900,
A20260527,34.882,30C,45.00 ,5700,
A20260528,47.305,30C,45.00 ,4900,
A20260529,80.533,30C,45.00 ,4900,
A20260530,55.647,30C,45.00 ,4900,
A20260531,72.160,30C,45.00 ,4900,
A20260532,30.720,30C,45.00 ,4700,
A20260533,80.456,30C,45.00 ,4900,
A20260534,63.768,30C,45.00 ,4900,
A20260535,34.882,30C,45.00 ,4900,
A20260536,41.465,30C,45.00 ,6280,
A20260537,16.253,30C,45.00 ,4970,
A20260538,36.805,30C,45.00 ,4970,
A20260539,53.340,30C,45.00 ,4900,
A20260540,33.658,30C,45.00 ,4900,
A20260541,41.250,30C,45.00 ,4420,
A20260542,68.930,30C,45.00 ,4420,
A20260543,89.703,30C,45.00 ,4420,
A20260544,46.795,30C,45.00 ,4675,
A20260545,22.268,30C,45.00 ,4675,
A20260546,70.720,30C,45.00 ,4900,
A20260547,44.135,30C,45.00 ,4900,
A20260548,36.565,30C,45.00 ,4900,
A20260549,44.155,30C,45.00 ,4900,
A20260550,63.807,30C,45.00 ,4900,
A20260551,54.450,30C,45.00 ,7392,
A20260552,120.320,30C,45.00 ,4900,
A20260553,138.690,30C,45.00 ,4900,
A20260554,138.710,30C,45.00 ,4900,
A20260555,83.520,30C,45.00 ,4900,
A20260556,87.843,30C,45.00 ,4930,
A20260557,16.152,30C,45.00 ,7300,
A20260558,25.819,30C,45.00 ,7300,
A20260559,22.224,30C,45.00 ,7300,
A20260560,22.220,30C,45.00 ,10900,
A20260561,22.220,30C,45.00 ,10620,
A20260562,28.360,30C,45.00 ,10620,
A20260563,28.333,30C,45.00 ,10620,
A20260564,28.327,30C,45.00 ,10620,
A20260565,25.861,30C,45.00 ,10620,
A20260566,58.648,30C,45.00 ,6250,
A20260567,22.224,30C,45.00 ,5150,
A20260568,28.231,30C,45.00 ,5150,
A20260569,28.234,30C,45.00 ,5150,
A20260570,41.485,30C,45.00 ,4900,
A20260571,35.188,30C,45.00 ,4900,
A20260572,50.020,30C,45.00 ,4900,
A20260573,110.020,30C,45.00 ,4900,
A20260574,50.020,30C,45.00 ,4900,
A20260575,20.020,30C,45.00 ,4900,
A20260576,25.020,30C,45.00 ,4900,
A20260577,45.040,30C,45.00 ,4900,
A20260578,34.965,30C,45.00 ,4900,
A20260579,16.140,30C,45.00 ,6400,
A20260580,34.955,30C,45.00 ,4900,
A20260581,25.000,30C,45.00 ,4900,
A20260582,24.960,30C,45.00 ,4900,
A20260583,54.935,30C,45.00 ,4900,
A20260584,49.500,30C,45.00 ,4900,
A20260585,33.568,30C,45.00 ,7000,
A20260586,25.712,30C,45.00 ,7200,
A20260587,109.980,30C,45.00 ,4900,
A20260588,41.246,30C,45.00 ,4900,
A20260589,22.514,30C,45.00 ,4900,
A20260590,84.960,30C,45.00 ,4900,
A20260591,35.040,30C,45.00 ,4900,
A20260592,75.095,30C,45.00 ,4900,
A20260593,47.777,30C,45.00 ,4900,
A20260594,22.626,30C,45.00 ,4900,
A20260595,28.939,30C,45.00 ,4900,
A20260596,29.500,30C,45.00 ,4900,
A20260597,39.358,30C,45.00 ,4900,
A20260598,29.880,30C,45.00 ,4900,
A20260599,44.805,30C,45.00 ,4900,
A20260600,30.735,30C,45.00 ,4900,
A20260601,22.441,30C,45.00 ,4900,
A20260602,29.089,30C,45.00 ,4500,
A20260603,29.079,30C,45.00 ,4700,
A20260604,29.020,30C,45.00 ,4700,
A20260605,29.947,30C,45.00 ,4900,
A20260606,24.996,30C,45.00 ,4900,
A20260607,79.976,30C,45.00 ,5900,
A20260608,65.022,30C,45.00 ,5900,
A20260609,22.150,30C,45.00 ,8650,
A20260610,46.450,30C,45.00 ,8200,
A20260611,22.300,30C,45.00 ,8200,
A20260612,40.750,30C,45.00 ,11120,
A20260613,40.555,30C,45.00 ,4830,
A20260614,71.110,30C,45.00 ,4830,
A20260615,40.407,30C,45.00 ,8120,
A20260616,43.168,30C,45.00 ,5900,
A20260617,30.722,30C,45.00 ,6900,
A20260618,18.294,30C,45.00 ,6900,
A20260619,29.020,30C,45.00 ,4900,
A20260620,35.026,30C,45.00 ,4900,
A20260621,19.974,30C,45.00 ,4900,
A20260622,19.986,30C,45.00 ,4900,
A20260623,29.984,30C,45.00 ,4900,
A20260624,19.910,30C,45.00 ,6300,
A20260625,14.965,30C,45.00 ,6300,
A20260626,64.905,30C,45.00 ,4900,
A20260627,29.940,30C,45.00 ,4900,
A20260628,69.940,30C,45.00 ,4900,
A20260629,55.702,30C,45.00 ,4900,
A20260630,111.005,30C,45.00 ,4900,
A20260631,69.785,30C,45.00 ,4900,
A20260632,37.175,30C,45.00 ,4900,
A20260633,26.247,30C,45.00 ,4900,
A20260634,142.520,30C,45.00 ,4900,
A20260635,60.480,30C,45.00 ,4900,
A20260636,30.045,30C,45.00 ,4900,
A20260637,24.955,30C,45.00 ,4900,
A20260638,50.100,30C,45.00 ,4900,
A20260639,45.070,30C,45.00 ,4900,
A20260640,45.070,30C,45.00 ,4900,
A20260641,22.150,30C,45.00 ,6850,
A20260642,29.032,30C,45.00 ,4900,
A20260643,30.735,30C,45.00 ,6900,
A20260644,30.735,30C,45.00 ,4900,
A20260645,22.291,30C,45.00 ,4800,
A20260646,18.280,30C,45.00 ,4900,
A20260647,34.882,30C,45.00 ,4900,
A20260648,47.677,30C,45.00 ,3820,
A20260649,15.383,30C,45.00 ,3820,
A20260650,43.160,30C,45.00 ,4700,
A20260651,38.945,30C,45.00 ,4700,
A20260652,22.278,30C,45.00 ,5400,
A20260653,52.973,30C,45.00 ,5470,
A20260654,35.376,30C,45.00 ,4900,
A20260655,41.720,30C,45.00 ,4900,
A20260656,22.748,30C,45.00 ,6400,
A20260657,28.455,30C,45.00 ,12300,
A20260658,20.543,30C,45.00 ,12300,
A20260659,89.430,30C,45.00 ,4790,
A20260660,28.915,30C,45.00 ,4900,
A20260661,129.719,30C,45.00 ,4900,
A20260662,24.955,30C,45.00 ,4900,
A20260663,24.985,30C,45.00 ,4900,
A20260664,14.995,30C,45.00 ,4900,
A20260665,29.970,30C,45.00 ,4900,
A20260666,90.080,30C,45.00 ,4900,
A20260667,70.040,30C,45.00 ,4900,
A20260668,35.020,30C,45.00 ,4900,
A20260669,45.020,30C,45.00 ,4900,
A20260670,54.995,30C,45.00 ,4900,
A20260671,34.935,30C,45.00 ,4900,
A20260672,30.040,30C,45.00 ,4900,
A20260673,30.080,30C,45.00 ,4900,
A20260674,123.560,30C,45.00 ,4900,
A20260675,100.881,30C,45.00 ,4900,
A20260676,39.029,30C,45.00 ,6400,
A20260677,47.327,30C,45.00 ,6401,
A20260678,18.288,30C,45.00 ,6401,
A20260679,55.584,30C,45.00 ,4900,
A20260680,55.496,30C,45.00 ,4700,
A20260681,48.064,30C,45.00 ,7000,
A20260682,29.036,30C,45.00 ,4900,
A20260683,26.540,30C,45.00 ,4900,
A20260684,26.544,30C,45.00 ,4900,
A20260685,22.218,30C,45.00 ,6400,
A20260686,22.218,30C,45.00 ,5300,
A20260687,28.507,30C,45.00 ,9540,
A20260688,15.288,30C,45.00 ,9540,
A20260689,28.325,30C,45.00 ,9540,
A20260690,28.322,30C,45.00 ,9540,
A20260691,22.150,30C,45.00 ,6250,
A20260692,23.156,30C,45.00 ,10500,
A20260693,34.882,30C,45.00 ,4900,
A20260694,22.295,30C,45.00 ,4930,
A20260695,30.465,30C,45.00 ,4930,
A20260696,22.282,30C,45.00 ,5530,
A20260697,25.787,30C,45.00 ,5530,
A20260698,95.660,30C,45.00 ,5530,
A20260699,46.768,30C,45.00 ,5530,
A20260700,46.772,30C,45.00 ,5600,
A20260701,41.751,30C,45.00 ,4900,
A20260702,73.560,30C,45.00 ,4700,
A20260703,28.360,30C,45.00 ,6300,
A20260704,28.400,30C,45.00 ,6300,
A20260705,22.222,30C,45.00 ,10860,
A20260706,28.450,30C,45.00 ,11540,
A20260707,26.439,30C,45.00 ,9520,
A20260708,46.450,30C,45.00 ,7400,
A20260709,28.230,30C,45.00 ,5300,
A20260710,53.067,30C,45.00 ,5300,
A20260711,41.642,30C,45.00 ,5300,
A20260712,77.023,30C,45.00 ,5300,
A20260713,13.364,30C,45.00 ,7400,
A20260714,33.546,30C,45.00 ,7400,
A20260715,25.710,30C,45.00 ,7400,
A20260716,98.368,30C,45.00 ,4900,
A20260717,75.518,30C,45.00 ,6400,
A20260718,35.020,30C,45.00 ,7000,
A20260719,66.280,30C,45.00 ,7000,
A20260720,109.660,30C,45.00 ,7000,
