order_id,steel,diameter,length,weight,density
B20270069,NP01,43.0,4.9,32158.0,9860
B20270070,NP01,43.0,4.9,36165.0,9860
B20270071,NP01,43.0,5.7,47038.0,9860
B20270072,NP01,43.0,10.0,20070.0,9860
B20270073,NP01,43.0,4.9,63381.0,9860
B20270074,NP01,43.0,4.9,40389.0,9860
B20270075,NP01,43.0,4.9,141467.0,9860
B20270076,NP01,43.0,4.9,24631.0,9860
B20270077,NP01,43.0,6.4,37068.0,9860
B20270078,NP01,43.0,4.901,24213.0,9860
B20270079,NP01,43.0,7.4,35349.0,9860
B20270080,NP01,43.0,5.9,134067.0,9860
B20270081,NP01,43.0,7.75,5152.0,9860
B20270082,NP01,43.0,7.0,88627.0,9860
B20270083,NP01,43.0,4.9,51339.0,9860
B20270084,NP01,43.0,4.9,108497.0,9860
B20270085,NP01,43.0,5.3,52534.0,9860
B20270086,NP01,43.0,5.7,93505.0,9860
B20270087,NP01,43.0,4.9,47368.0,9860
B20270088,NP01,43.0,4.9,62595.0,9860
B20270089,NP01,43.0,3.8,13084.0,9860
B20270090,NP01,43.0,4.9,24028.0,9860
B20270091,NP01,43.0,4.9,15746.0,9860
B20270092,NP01,43.0,4.5,37392.0,9860
B20270093,NP01,43.0,5.4,53146.0,9860
B20270094,NP01,43.0,4.9,36659.0,9860
B20270095,NP01,43.0,4.9,59327.0,9860
B20270096,NP01,43.0,4.901,31060.0,9860
B20270097,NP01,43.0,5.9,34758.0,9860
B20270098,NP01,43.0,5.9,18137.0,9860
B20270099,NP01,43.0,6.9,42146.0,9860
B20270100,NP01,43.0,6.1,25243.0,9860
B20270101,NP01,43.0,8.78,16218.0,9860
B20270102,NP01,43.0,7.0,18940.0,9860
B20270103,NP01,43.0,4.9,56177.0,9860
B20270104,NP01,43.0,4.9,16747.0,9860
B20270105,NP01,43.0,4.9,76569.0,9860
B20270106,NP01,43.0,4.9,29118.0,9860
B20270107,NP01,43.0,4.9,19787.0,9860
B20270108,NP01,43.0,6.8,7521.0,9860
B20270109,NP01,43.0,7.0,50147.0,9860
B20270110,NP01,43.0,5.4,35736.0,9860
B20270111,NP01,43.0,5.36,6050.0,9860
B20270112,NP01,43.0,4.9,19816.0,9860
B20270113,NP01,43.0,6.15,20092.0,9860
B20270114,NP01,43.0,4.9,42577.0,9860
B20270115,NP01,43.0,4.901,100752.0,9860
B20270116,NP01,43.0,6.4,34050.0,9860
B20270117,NP01,43.0,4.9,105256.0,9860
B20270118,NP01,43.0,4.9,22358.0,9860
B20270119,NP01,43.0,6.4,43705.0,9860
B20270120,NP01,43.0,4.901,40789.0,9860
B20270121,NP01,43.0,5.9,10404.0,9860
B20270122,NP01,43.0,4.9,59252.0,9860
B20270123,NP01,43.0,4.9,38293.0,9860
B20270124,NP01,43.0,5.9,56827.0,9860
B20270125,NP01,43.0,4.9,24057.0,9860
B20270126,NP01,43.0,4.9,31215.0,9860
B20270127,NP01,43.0,4.9,31569.0,9860
B20270128,NP01,43.0,5.0,15811.0,9860
B20270129,NP01,43.0,4.9,54053.0,9860
B20270130,NP01,43.0,7.0,11485.0,9860
B20270131,NP01,43.0,5.9,44157.0,9860
B20270132,NP01,43.0,4.9,122530.0,9860
B20270133,NP01,43.0,6.7,59477.0,9860
B20270134,NP01,43.0,4.9,23478.0,9860
B20270135,NP01,43.0,5.4,100554.0,9860
B20270136,NP01,43.0,6.0,35626.0,9860
B20270137,NP01,43.0,4.9,52351.0,9860
B20270138,NP01,43.0,7.75,83175.0,9860
B20270139,NP01,43.0,4.9,12147.0,9860
B20270140,NP01,43.0,10.9,28119.0,9860
B20270141,NP01,43.0,4.9,31354.0,9860
B20270142,NP01,43.0,4.9,11294.0,9860
B20270143,NP01,43.0,5.06,68334.0,9860
B20270144,NP01,43.0,4.9,12483.0,9860
B20270145,NP01,43.0,6.4,115940.0,9860
B20270146,NP01,43.0,5.9,15050.0,9860
B20270147,NP01,43.0,4.9,136954.0,9860
B20270148,NP01,43.0,5.33,49772.0,9860
B20270149,NP01,43.0,6.1,88667.0,9860
B20270150,NP01,43.0,5.9,12369.0,9860
B20270151,NP01,43.0,6.15,48722.0,9860
B20270152,NP01,43.0,5.9,29711.0,9860
B20270153,NP01,43.0,6.6,51572.0,9860
B20270154,NP01,43.0,5.9,34405.0,9860
B20270155,NP01,43.0,4.9,18185.0,9860
B20270156,NP01,43.0,5.9,64012.0,9860
B20270157,NP01,43.0,6.4,22549.0,9860
B20270158,NP01,43.0,4.9,14875.0,9860
B20270159,NP01,43.0,4.9,12234.0,9860
B20270160,NP01,43.0,4.4,36634.0,9860
B20270161,NP01,43.0,4.9,58402.0,9860
B20270162,NP01,43.0,4.9,54935.0,9860
B20270163,NP01,43.0,4.55,23949.0,9860
B20270164,NP01,43.0,4.9,42185.0,9860
B20270165,NP01,43.0,6.65,67125.0,9860
B20270166,NP01,43.0,4.9,22446.0,9860
B20270167,NP01,43.0,7.75,39805.0,9860
B20270168,NP01,43.0,5.7,129704.00000000001,9860
B20270169,NP01,43.0,6.54,26006.0,9860
B20270170,NP01,43.0,3.9,17588.0,9860
B20270171,NP01,43.0,5.9,112611.0,9860
B20270172,NP01,43.0,4.9,23554.0,9860
B20270173,NP01,43.0,5.4,44814.0,9860
B20270174,NP01,43.0,4.78,15730.0,9860
B20270175,NP01,43.0,8.9,24740.0,9860
B20270176,NP01,43.0,4.9,7236.0,9860
B20270177,NP01,43.0,6.3,12490.0,9860
B20270178,NP01,43.0,5.27,34599.0,9860
B20270179,NP01,43.0,7.0,94955.0,9860
B20270180,NP01,43.0,4.9,35235.0,9860
B20270181,NP01,43.0,4.9,37625.0,9860
B20270182,NP01,43.0,4.9,12618.0,9860
B20270183,NP01,43.0,7.75,17164.0,9860
B20270184,NP01,43.0,4.9,76647.0,9860
B20270185,NP01,43.0,6.1,85820.0,9860
B20270186,NP01,43.0,6.4,13192.0,9860
B20270187,NP01,43.0,4.9,24987.0,9860
B20270188,NP01,43.0,7.75,5487.0,9860
B20270189,NP01,43.0,4.5,24226.0,9860
B20270190,NP01,43.0,6.6,12454.0,9860
B20270191,NP01,43.0,6.1,117529.0,9860
B20270192,NP01,43.0,6.1,39422.0,9860
B20270193,NP01,43.0,5.9,12583.0,9860
B20270194,NP01,43.0,4.9,18317.0,9860
B20270195,NP01,43.0,4.9,111278.0,9860
B20270196,NP01,43.0,7.0,43359.0,9860
B20270197,NP01,43.0,4.9,46878.0,9860
B20270198,NP01,43.0,4.9,19076.0,9860
B20270199,NP01,43.0,5.9,14573.0,9860
B20270200,NP01,43.0,4.9,66980.0,9860
B20270201,NP01,43.0,4.9,11974.0,9860
B20270202,NP01,43.0,4.9,24166.0,9860
B20270203,NP01,43.0,4.9,42493.0,9860
B20270204,NP01,43.0,6.1,35217.0,9860
B20270205,NP01,43.0,6.14,52364.0,9860
B20270206,NP01,43.0,4.9,77670.0,9860
B20270207,NP01,43.0,10.06,81190.0,9860
B20270208,NP01,43.0,4.55,30841.0,9860
B20270209,NP01,43.0,4.9,18964.0,9860
B20270210,NP01,43.0,4.7,117503.0,9860
B20270211,NP01,43.0,6.4,20832.0,9860
B20270212,NP01,43.0,4.901,23962.0,9860
B20270213,NP01,43.0,5.2,131995.0,9860
B20270214,NP01,43.0,6.15,36824.0,9860
B20270215,NP01,43.0,4.4,55403.0,9860
B20270216,NP01,43.0,4.78,11492.0,9860
B20270217,NP01,43.0,4.9,50846.0,9860
B20270218,NP01,43.0,4.9,40449.0,9860
B20270219,NP01,43.0,5.9,30788.0,9860
B20270220,NP01,43.0,5.2,19042.0,9860
B20270221,NP01,43.0,4.9,24547.0,9860
B20270222,NP01,43.0,4.9,78923.0,9860
B20270223,NP01,43.0,6.1,18466.0,9860
B20270224,NP01,43.0,4.9,6807.0,9860
B20270225,NP01,43.0,4.45,22791.0,9860
B20270226,NP01,43.0,4.7,59386.0,9860
B20270227,NP01,43.0,6.55,55336.0,9860
B20270228,NP01,43.0,4.55,18548.0,9860
B20270229,NP01,43.0,6.4,57555.0,9860
B20270230,NP01,43.0,4.9,35101.0,9860
B20270231,NP01,43.0,6.4,12379.0,9860
B20270232,NP01,43.0,4.9,12352.0,9860
B20270233,NP01,43.0,6.14,59542.0,9860
B20270234,NP01,43.0,7.4,24055.0,9860
B20270235,NP01,43.0,5.2,29811.0,9860
B20270236,NP01,43.0,5.9,64334.99999999999,9860
B20270237,NP01,43.0,6.9,72987.0,9860
B20270238,NP01,43.0,6.78,105803.0,9860
B20270239,NP01,43.0,6.1,26502.0,9860
B20270240,NP01,43.0,6.1,12161.0,9860
B20270241,NP01,43.0,5.97,18930.0,9860
B20270242,NP01,43.0,5.15,8880.0,9860
B20270243,NP01,43.0,6.3,56284.0,9860
B20270244,NP01,43.0,4.9,5063.0,9860
B20270245,NP01,43.0,8.97,26748.0,9860
B20270246,NP01,43.0,5.3,110748.0,9860
B20270247,NP01,43.0,6.4,23478.0,9860
B20270248,NP01,43.0,7.9,59607.0,9860
B20270249,NP01,43.0,5.4,24484.0,9860
B20270250,NP01,43.0,6.9,22322.0,9860
B20270251,NP01,43.0,4.9,54687.0,9860
B20270252,NP01,43.0,4.9,18532.0,9860
B20270253,NP01,43.0,5.08,83903.0,9860
B20270254,NP01,43.0,4.9,25788.0,9860
B20270255,NP01,43.0,5.9,24476.0,9860
B20270256,NP01,43.0,5.9,34199.0,9860
B20270257,NP01,43.0,9.0,69708.0,9860
B20270258,NP01,43.0,4.9,17712.0,9860
B20270259,NP01,43.0,6.1,12006.0,9860
B20270260,NP01,43.0,5.15,55268.0,9860
B20270261,NP01,43.0,6.07,30087.0,9860
B20270262,NP01,43.0,3.9,49295.0,9860
B20270263,NP01,43.0,3.9,12991.0,9860
B20270264,NP01,43.0,4.9,17247.0,9860
B20270265,NP01,43.0,5.3,12364.0,9860
B20270266,NP01,43.0,10.06,39096.0,9860
B20270267,NP01,43.0,5.9,31607.0,9860
B20270268,NP01,43.0,4.901,119954.0,9860
B20270269,NP01,43.0,6.4,27276.0,9860
B20270270,NP01,43.0,4.9,24040.0,9860
B20270271,NP01,43.0,5.9,31179.0,9860
B20270272,NP01,43.0,7.75,48992.0,9860
B20270273,NP01,43.0,5.9,41057.0,9860
B20270274,NP01,43.0,5.9,36640.0,9860
B20270275,NP01,43.0,5.9,111681.0,9860
B20270276,NP01,43.0,4.9,79345.0,9860
B20270277,NP01,43.0,5.4,25461.0,9860
B20270278,NP01,43.0,5.9,94480.0,9860
B20270279,NP01,43.0,4.9,56534.0,9860
B20270280,NP01,43.0,4.9,54405.0,9860
B20270282,NP01,43.0,4.9,27790.0,9860
B20270283,NP01,43.0,5.2,58314.0,9860
B20270284,NP01,43.0,5.9,11879.0,9860
B20270285,NP01,43.0,4.9,24198.0,9860
B20270286,NP01,43.0,4.9,34969.0,9860
B20270287,NP01,43.0,4.901,16068.000000000002,9860
B20270288,NP01,43.0,6.55,23501.0,9860
B20270289,NP01,43.0,6.4,15460.0,9860
B20270290,NP01,43.0,5.0,23710.0,9860
B20270291,NP01,43.0,4.9,109581.0,9860
B20270292,NP01,43.0,4.9,37347.0,9860
B20270293,NP01,43.0,4.9,52198.0,9860
B20270294,NP01,43.0,3.8,36901.0,9860
B20270295,NP01,43.0,4.6,37047.0,9860
B20270296,NP01,43.0,4.9,22395.0,9860
B20270297,NP01,43.0,7.0,15238.0,9860
B20270298,NP01,43.0,4.9,41442.0,9860
B20270299,NP01,43.0,4.9,10826.0,9860
B20270300,NP01,43.0,9.34,70117.0,9860
B20270301,NP01,43.0,5.9,114402.0,9860
B20270302,NP01,43.0,4.9,14438.0,9860
B20270303,NP01,43.0,5.9,72975.0,9860
B20270304,NP01,43.0,4.9,23915.0,9860
B20270305,NP01,43.0,5.2,12618.0,9860
B20270306,NP01,43.0,4.9,70716.0,9860
B20270307,NP01,43.0,11.05,18108.0,9860
B20270308,NP01,43.0,5.06,3448.0,9860
B20270309,NP01,43.0,6.14,11992.0,9860
B20270310,NP01,43.0,4.9,11890.0,9860
B20270311,NP01,43.0,7.75,52676.0,9860
B20270312,NP01,43.0,7.75,50341.0,9860
B20270313,NP01,43.0,7.9,18421.0,9860
B20270314,NP01,43.0,4.9,19084.0,9860
B20270315,NP01,43.0,4.9,30753.0,9860
B20270316,NP01,43.0,5.9,41738.0,9860
B20270317,NP01,43.0,4.9,12545.0,9860
B20270318,NP01,43.0,4.9,28977.0,9860
B20270319,NP01,43.0,6.4,123717.0,9860
B20270320,NP01,43.0,4.9,37527.0,9860
B20270321,NP01,43.0,4.901,134438.0,9860
B20270322,NP01,43.0,8.9,48505.0,9860
B20270323,NP01,43.0,4.5,45803.0,9860
B20270324,NP01,43.0,5.9,31867.0,9860
B20270325,NP01,43.0,6.4,134189.0,9860
B20270326,NP01,43.0,4.9,3786.0,9860
B20270327,NP01,43.0,6.4,12643.0,9860
B20270328,NP01,43.0,4.9,23956.0,9860
B20270329,NP01,43.0,4.901,40447.0,9860
B20270330,NP01,43.0,7.0,11659.0,9860
B20270331,NP01,43.0,9.34,129303.0,9860
B20270332,NP01,43.0,4.9,87200.0,9860
B20270333,NP01,43.0,4.9,39093.0,9860
B20270334,NP01,43.0,6.3,63347.0,9860
B20270335,NP01,43.0,5.0,59707.0,9860
B20270336,NP01,43.0,7.0,40087.0,9860
B20270337,NP01,43.0,6.1,119509.0,9860
B20270338,NP01,43.0,3.9,17922.0,9860
B20270339,NP01,43.0,4.9,58901.0,9860
B20270340,NP01,43.0,6.4,12205.0,9860
B20270341,NP01,43.0,4.9,11536.0,9860
B20270342,NP01,43.0,4.15,36487.0,9860
B20270343,NP01,43.0,4.9,35063.0,9860
B20270344,NP01,43.0,4.9,12805.0,9860
B20270345,NP01,43.0,4.9,33252.0,9860
B20270346,NP01,43.0,5.1,38609.0,9860
B20270347,NP01,43.0,4.901,37581.0,9860
B20270348,NP01,43.0,4.9,34388.0,9860
B20270349,NP01,43.0,4.9,49168.0,9860
B20270350,NP01,43.0,7.24,18620.0,9860
B20270351,NP01,43.0,6.4,12161.0,9860
B20270352,NP01,43.0,6.4,61976.0,9860
B20270353,NP01,43.0,6.4,6205.0,9860
B20270354,NP01,43.0,4.9,44841.0,9860
B20270355,NP01,43.0,6.2,12971.0,9860
B20270356,NP01,43.0,10.06,16113.0,9860
B20270357,NP01,43.0,4.9,31627.0,9860
B20270358,NP01,43.0,4.9,22220.0,9860
B20270359,NP01,43.0,4.9,29950.0,9860
B20270360,NP01,43.0,7.9,99496.0,9860
B20270361,NP01,43.0,10.9,92590.0,9860
B20270362,NP01,43.0,4.901,77662.0,9860
B20270363,NP01,43.0,4.9,16466.0,9860
B20270364,NP01,43.0,5.7,125613.0,9860
B20270365,NP01,43.0,7.0,86889.0,9860
B20270366,NP01,43.0,5.0,48231.0,9860
B20270367,NP01,43.0,5.97,127579.0,9860
B20270368,NP01,43.0,6.4,41774.0,9860
B20270369,NP01,43.0,4.9,40897.0,9860
B20270370,NP01,43.0,4.901,67859.0,9860
B20270371,NP01,43.0,6.1,40604.0,9860
B20270372,NP01,43.0,6.1,129209.0,9860
B20270373,NP01,43.0,6.9,49517.0,9860
B20270374,NP01,43.0,6.78,41800.0,9860
B20270375,NP01,43.0,8.1,50035.0,9860
B20270376,NP01,43.0,6.84,33389.0,9860
B20270377,NP01,43.0,4.9,35749.0,9860
B20270378,NP01,43.0,6.4,79857.0,9860
B20270379,NP01,43.0,4.9,11912.0,9860
B20270380,NP01,43.0,4.9,25136.0,9860
B20270381,NP01,43.0,9.0,29993.0,9860
B20270382,NP01,43.0,6.4,23900.0,9860
B20270383,NP01,43.0,4.9,16091.000000000002,9860
B20270384,NP01,43.0,8.1,24274.0,9860
B20270385,NP01,43.0,4.9,28143.0,9860
B20270386,NP01,43.0,5.9,12477.0,9860
B20270387,NP01,43.0,5.0,60213.0,9860
B20270388,NP01,43.0,4.9,29435.0,9860
B20270389,NP01,43.0,4.9,59280.0,9860
B20270390,NP01,43.0,4.9,44003.0,9860
B20270391,NP01,43.0,4.9,127646.0,9860
B20270392,NP01,43.0,4.9,35495.0,9860
B20270393,NP01,43.0,5.9,18609.0,9860
B20270394,NP01,43.0,4.9,17085.0,9860
B20270395,NP01,43.0,3.8,36522.0,9860
B20270396,NP01,43.0,8.05,40412.0,9860
B20270397,NP01,43.0,4.15,41801.0,9860
B20270398,NP01,43.0,7.4,86273.0,9860
B20270399,NP01,43.0,3.9,64938.99999999999,9860
B20270400,NP01,43.0,7.96,84545.0,9860
B20270401,NP01,43.0,4.9,11959.0,9860
B20270402,NP01,43.0,4.5,24404.0,9860
B20270403,NP01,43.0,4.9,6245.0,9860
B20270404,NP01,43.0,4.9,17072.0,9860
B20270405,NP01,43.0,7.0,59611.0,9860
B20270406,NP01,43.0,5.08,64239.99999999999,9860
B20270407,NP01,43.0,4.9,30683.0,9860
B20270408,NP01,43.0,6.84,17145.0,9860
B20270409,NP01,43.0,6.7,22567.0,9860
B20270410,NP01,43.0,7.75,94076.0,9860
B20270411,NP01,43.0,5.0,12550.0,9860
B20270412,NP01,43.0,5.9,18878.0,9860
B20270413,NP01,43.0,4.55,24150.0,9860
B20270414,NP01,43.0,8.23,25378.0,9860
B20270415,NP01,43.0,6.4,31155.0,9860
B20270416,NP01,43.0,4.9,92404.0,9860
B20270417,NP01,43.0,4.9,24743.0,9860
B20270418,NP01,43.0,6.4,14682.0,9860
B20270419,NP01,43.0,6.4,30219.0,9860
B20270420,NP01,43.0,4.78,36961.0,9860
B20270421,NP01,43.0,5.3,12168.0,9860
B20270422,NP01,43.0,5.018,12941.0,9860
B20270423,NP01,43.0,6.14,22831.0,9860
B20270424,NP01,43.0,4.6,77810.0,9860
B20270425,NP01,43.0,6.1,83134.0,9860
B20270426,NP01,43.0,3.8,36800.0,9860
B20270427,NP01,43.0,5.9,45741.0,9860
B20270428,NP01,43.0,4.9,23474.0,9860
B20270429,NP01,43.0,5.84,44557.0,9860
B20270430,NP01,43.0,9.34,73825.0,9860
B20270431,NP01,43.0,6.4,76048.0,9860
B20270432,NP01,43.0,4.45,99089.0,9860
B20270433,NP01,43.0,5.9,19495.0,9860
B20270434,NP01,43.0,6.4,89603.0,9860
B20270435,NP01,43.0,4.901,48226.0,9860
B20270436,NP01,43.0,4.9,41349.0,9860
B20270437,NP01,43.0,4.9,31642.0,9860
B20270438,NP01,43.0,6.4,12017.0,9860
B20270439,NP01,43.0,8.1,108235.0,9860
B20270440,NP01,43.0,7.9,66792.0,9860
B20270441,NP01,43.0,6.55,46045.0,9860
B20270442,NP01,43.0,4.9,48078.0,9860
B20270443,NP01,43.0,7.75,52613.0,9860
B20270444,NP01,43.0,5.1,12112.0,9860
B20270445,NP01,43.0,6.4,100145.0,9860
B20270446,NP01,43.0,4.9,45405.0,9860
B20270447,NP01,43.0,8.97,33178.0,9860
B20270448,NP01,43.0,7.96,85167.0,9860
B20270449,NP01,43.0,6.14,20482.0,9860
B20270450,NP01,43.0,5.9,124439.0,9860
B20270451,NP01,43.0,4.9,24116.0,9860
B20270452,NP01,43.0,6.25,9552.0,9860
B20270453,NP01,43.0,4.9,75606.0,9860
B20270454,NP01,43.0,8.23,11680.0,9860
B20270455,NP01,43.0,5.0,12675.0,9860
B20270456,NP01,43.0,5.3,113835.0,9860
B20270457,NP01,43.0,4.78,36943.0,9860
B20270458,NP01,43.0,5.9,84002.0,9860
B20270459,NP01,43.0,4.9,109906.0,9860
B20270460,NP01,43.0,5.9,106179.0,9860
B20270461,NP01,43.0,7.0,36156.0,9860
B20270462,NP01,43.0,11.0,25523.0,9860
B20270463,NP01,43.0,6.15,25453.0,9860
B20270464,NP01,43.0,6.9,99813.0,9860
B20270465,NP01,43.0,5.7,94207.0,9860
B20270466,NP01,43.0,7.75,7877.0,9860
B20270467,NP01,43.0,5.08,82845.0,9860
B20270468,NP01,43.0,6.9,41131.0,9860
B20270469,NP01,43.0,4.9,126553.0,9860
B20270470,NP01,43.0,10.06,27648.0,9860
B20270471,NP01,43.0,6.6,29591.0,9860
B20270472,NP01,43.0,4.901,23099.0,9860
B20270473,NP01,43.0,8.97,31710.0,9860
B20270474,NP01,43.0,4.901,23686.0,9860
B20270475,NP01,43.0,4.9,51286.0,9860
B20270476,NP01,43.0,5.9,12883.0,9860
B20270477,NP01,43.0,4.9,37143.0,9860
B20270478,NP01,43.0,8.97,20034.0,9860
B20270479,NP01,43.0,8.97,23315.0,9860
B20270480,NP01,43.0,6.4,12552.0,9860
B20270481,NP01,43.0,7.9,25262.0,9860
B20270482,NP01,43.0,8.97,129294.99999999999,9860
B20270483,NP01,43.0,5.9,42189.0,9860
B20270484,NP01,43.0,7.75,31734.0,9860
B20270485,NP01,43.0,6.1,11775.0,9860
B20270486,NP01,43.0,4.9,41256.0,9860
B20270487,NP01,43.0,6.4,30053.0,9860
B20270488,NP01,43.0,6.8,41019.0,9860
B20270489,NP01,43.0,4.9,24365.0,9860
B20270490,NP01,43.0,4.9,57667.0,9860
B20270491,NP01,43.0,6.4,97077.0,9860
B20270492,NP01,43.0,5.6,23879.0,9860
B20270493,NP01,43.0,4.9,19539.0,9860
B20270494,NP01,43.0,4.7,15624.0,9860
B20270495,NP01,43.0,4.9,134503.0,9860
B20270496,NP01,43.0,10.9,42317.0,9860
B20270497,NP01,43.0,6.9,23286.0,9860
B20270498,NP01,43.0,6.35,26143.0,9860
B20270499,NP01,43.0,6.1,20615.0,9860
B20270500,NP01,43.0,5.9,61846.0,9860
B20270501,NP01,43.0,8.05,116799.0,9860
B20270502,NP01,43.0,7.08,29085.0,9860
B20270503,NP01,43.0,5.9,134083.0,9860
B20270504,NP01,43.0,6.36,18760.0,9860
B20270505,NP01,43.0,5.9,40639.0,9860
B20270506,NP01,43.0,5.7,46902.0,9860
B20270507,NP01,43.0,4.9,7906.0,9860
B20270508,NP01,43.0,5.9,30785.0,9860
B20270509,NP01,43.0,6.4,137620.0,9860
B20270510,NP01,43.0,6.9,60632.0,9860
B20270511,NP01,43.0,4.9,24581.0,9860
B20270512,NP01,43.0,4.9,17165.0,9860
B20270513,NP01,43.0,4.4,35856.0,9860
B20270514,NP01,43.0,4.9,24364.0,9860
B20270515,NP01,43.0,4.9,24045.0,9860
B20270516,NP01,43.0,7.08,28991.0,9860
B20270517,NP01,43.0,4.9,53020.0,9860
B20270518,NP01,43.0,5.9,35601.0,9860
B20270519,NP01,43.0,5.0,23899.0,9860
B20270520,NP01,43.0,5.9,18722.0,9860
B20270521,NP01,43.0,4.15,41178.0,9860
B20270522,NP01,43.0,4.9,24817.0,9860
B20270523,NP01,43.0,7.9,22584.0,9860
B20270524,NP01,43.0,7.0,15911.0,9860
B20270525,NP01,43.0,9.34,91294.0,9860
B20270526,NP01,43.0,4.9,38904.0,9860
B20270527,NP01,43.0,4.9,17021.0,9860
B20270528,NP01,43.0,7.0,82049.0,9860
B20270529,NP01,43.0,4.75,24401.0,9860
B20270530,NP01,43.0,4.9,69871.0,9860
B20270531,NP01,43.0,5.018,62161.0,9860
B20270532,NP01,43.0,6.1,41729.0,9860
B20270533,NP01,43.0,5.9,38843.0,9860
B20270534,NP01,43.0,4.901,63163.0,9860
B20270535,NP01,43.0,4.9,90594.0,9860
B20270536,NP01,43.0,4.9,31480.0,9860
B20270537,NP01,43.0,8.78,24482.0,9860
B20270538,NP01,43.0,4.901,49623.0,9860
B20270539,NP01,43.0,6.4,38938.0,9860
B20270540,NP01,43.0,7.75,19689.0,9860
B20270541,NP01,43.0,5.08,86494.0,9860
B20270542,NP01,43.0,5.9,18792.0,9860
B20270543,NP01,43.0,4.9,39788.0,9860
B20270544,NP01,43.0,6.1,82857.0,9860
B20270545,NP01,43.0,7.4,90184.0,9860
B20270546,NP01,43.0,5.2,41088.0,9860
B20270547,NP01,43.0,6.15,12335.0,9860
B20270548,NP01,43.0,6.65,25220.0,9860
B20270549,NP01,43.0,4.9,124410.0,9860
B20270550,NP01,43.0,4.901,16585.0,9860
B20270551,NP01,43.0,5.018,45163.0,9860
B20270552,NP01,43.0,5.9,36210.0,9860
B20270553,NP01,43.0,4.9,36649.0,9860
B20270554,NP01,43.0,10.06,48409.0,9860
B20270555,NP01,43.0,4.9,17230.0,9860
B20270556,NP01,43.0,7.75,43554.0,9860
B20270557,NP01,43.0,7.2,73739.0,9860
B20270558,NP01,43.0,5.84,53057.0,9860
