订单号,订单重量,钢种,规格,定尺长度
B20270262,49.295,NP01,43,3900
B20270263,12.991,NP01,43,3900
B20270264,17.247,NP01,43,4900
B20270265,12.364,NP01,43,5300
B20270266,39.096,NP01,43,10060
B20270267,31.607,NP01,43,5900
B20270268,119.954,NP01,43,4901
B20270269,27.276,NP01,43,6400
B20270270,24.04,NP01,43,4900
B20270271,31.179,NP01,43,5900
B20270272,48.992,NP01,43,7750
B20270273,41.057,NP01,43,5900
B20270274,36.64,NP01,43,5900
B20270275,111.681,NP01,43,5900
B20270276,79.345,NP01,43,4900
B20270277,25.461,NP01,43,5400
B20270278,94.48,NP01,43,5900
B20270279,56.534,NP01,43,4900
B20270280,54.405,NP01,43,4900
B20270281,-25.418,NP01,43,6100
B20270282,27.79,NP01,43,4900
B20270283,58.314,NP01,43,5200
B20270284,11.879,NP01,43,5900
B20270285,24.198,NP01,43,4900
B20270286,34.969,NP01,43,4900
B20270287,16.068,NP01,43,4901
B20270288,23.501,NP01,43,6550
B20270289,15.46,NP01,43,6400
B20270290,23.71,NP01,43,5000
B20270291,109.581,NP01,43,4900
B20270292,37.347,NP01,43,4900
B20270293,52.198,NP01,43,4900
B20270294,36.901,NP01,43,3800
B20270295,37.047,NP01,43,4600
B20270296,22.395,NP01,43,4900
B20270297,15.238,NP01,43,7000
B20270298,41.442,NP01,43,4900
B20270299,10.826,NP01,43,4900
B20270300,70.117,NP01,43,9340
B20270301,114.402,NP01,43,5900
B20270302,14.438,NP01,43,4900
B20270303,72.975,NP01,43,5900
B20270304,23.915,NP01,43,4900
B20270305,12.618,NP01,43,5200
B20270306,70.716,NP01,43,4900
B20270307,18.108,NP01,43,11050
B20270308,3.448,NP01,43,5060
B20270309,11.992,NP01,43,6140
B20270310,11.89,NP01,43,4900
B20270311,52.676,NP01,43,7750
B20270312,50.341,NP01,43,7750
B20270313,18.421,NP01,43,7900
B20270314,19.084,NP01,43,4900
B20270315,30.753,NP01,43,4900
B20270316,41.738,NP01,43,5900
B20270317,12.545,NP01,43,4900
B20270318,28.977,NP01,43,4900
B20270319,123.717,NP01,43,6400
B20270320,37.527,NP01,43,4900
B20270321,134.438,NP01,43,4901
B20270322,48.505,NP01,43,8900
B20270323,45.803,NP01,43,4500
B20270324,31.867,NP01,43,5900
B20270325,134.189,NP01,43,6400
B20270326,3.786,NP01,43,4900
B20270327,12.643,NP01,43,6400
B20270328,23.956,NP01,43,4900
B20270329,40.447,NP01,43,4901
B20270330,11.659,NP01,43,7000
B20270331,129.303,NP01,43,9340
B20270332,87.2,NP01,43,4900
B20270333,39.093,NP01,43,4900
B20270334,63.347,NP01,43,6300
B20270335,59.707,NP01,43,5000
B20270336,40.087,NP01,43,7000
B20270337,119.509,NP01,43,6100
B20270338,17.922,NP01,43,3900
B20270339,58.901,NP01,43,4900
B20270340,12.205,NP01,43,6400
B20270341,11.536,NP01,43,4900
B20270342,36.487,NP01,43,4150
B20270343,35.063,NP01,43,4900
B20270344,12.805,NP01,43,4900
B20270345,33.252,NP01,43,4900
B20270346,38.609,NP01,43,5100
B20270347,37.581,NP01,43,4901
B20270348,34.388,NP01,43,4900
B20270349,49.168,NP01,43,4900
B20270350,18.62,NP01,43,7240
B20270351,12.161,NP01,43,6400
B20270352,61.976,NP01,43,6400
B20270353,6.205,NP01,43,6400
B20270354,44.841,NP01,43,4900
B20270355,12.971,NP01,43,6200
B20270356,16.113,NP01,43,10060
B20270357,31.627,NP01,43,4900
B20270358,22.22,NP01,43,4900
B20270359,29.95,NP01,43,4900
B20270360,99.496,NP01,43,7900
B20270361,92.59,NP01,43,10900
B20270362,77.662,NP01,43,4901
B20270363,16.466,NP01,43,4900
B20270364,125.613,NP01,43,5700
B20270365,86.889,NP01,43,7000
B20270366,48.231,NP01,43,5000
B20270367,127.579,NP01,43,5970
B20270368,41.774,NP01,43,6400
B20270369,40.897,NP01,43,4900
B20270370,67.859,NP01,43,4901
B20270371,40.604,NP01,43,6100
B20270372,129.209,NP01,43,6100
B20270373,49.517,NP01,43,6900
B20270374,41.8,NP01,43,6780
B20270375,50.035,NP01,43,8100
B20270376,33.389,NP01,43,6840
B20270377,35.749,NP01,43,4900
B20270378,79.857,NP01,43,6400
B20270379,11.912,NP01,43,4900
B20270380,25.136,NP01,43,4900
B20270381,29.993,NP01,43,9000
B20270382,23.9,NP01,43,6400
B20270383,16.091,NP01,43,4900
B20270384,24.274,NP01,43,8100
B20270385,28.143,NP01,43,4900
B20270386,12.477,NP01,43,5900
B20270387,60.213,NP01,43,5000
B20270388,29.435,NP01,43,4900
B20270389,59.28,NP01,43,4900
B20270390,44.003,NP01,43,4900
B20270391,127.646,NP01,43,4900
B20270392,35.495,NP01,43,4900
B20270393,18.609,NP01,43,5900
B20270394,17.085,NP01,43,4900
B20270395,36.522,NP01,43,3800
B20270396,40.412,NP01,43,8050
B20270397,41.801,NP01,43,4150
B20270398,86.273,NP01,43,7400
B20270399,64.939,NP01,43,3900
B20270400,84.545,NP01,43,7960
B20270401,11.959,NP01,43,4900
B20270402,24.404,NP01,43,4500
B20270403,6.245,NP01,43,4900
B20270404,17.072,NP01,43,4900
B20270405,59.611,NP01,43,7000
B20270406,64.24,NP01,43,5080
B20270407,30.683,NP01,43,4900
B20270408,17.145,NP01,43,6840
B20270409,22.567,NP01,43,6700
B20270410,94.076,NP01,43,7750
B20270411,12.55,NP01,43,5000
B20270412,18.878,NP01,43,5900
B20270413,24.15,NP01,43,4550
B20270414,25.378,NP01,43,8230
B20270415,31.155,NP01,43,6400
B20270416,92.404,NP01,43,4900
B20270417,24.743,NP01,43,4900
B20270418,14.682,NP01,43,6400
B20270419,30.219,NP01,43,6400
B20270420,36.961,NP01,43,4780
B20270421,12.168,NP01,43,5300
B20270422,12.941,NP01,43,5018
B20270423,22.831,NP01,43,6140
B20270424,77.81,NP01,43,4600
B20270425,83.134,NP01,43,6100
B20270426,36.8,NP01,43,3800
B20270427,45.741,NP01,43,5900
B20270428,23.474,NP01,43,4900
B20270429,44.557,NP01,43,5840
B20270430,73.825,NP01,43,9340
B20270431,76.048,NP01,43,6400
B20270432,99.089,NP01,43,4450
B20270433,19.495,NP01,43,5900
B20270434,89.603,NP01,43,6400
B20270435,48.226,NP01,43,4901
B20270436,41.349,NP01,43,4900
B20270437,31.642,NP01,43,4900
B20270438,12.017,NP01,43,6400
B20270439,108.235,NP01,43,8100
B20270440,66.792,NP01,43,7900
B20270441,46.045,NP01,43,6550
B20270442,48.078,NP01,43,4900
B20270443,52.613,NP01,43,7750
B20270444,12.112,NP01,43,5100
B20270445,100.145,NP01,43,6400
B20270446,45.405,NP01,43,4900
B20270447,33.178,NP01,43,8970
B20270448,85.167,NP01,43,7960
B20270449,20.482,NP01,43,6140
B20270450,124.439,NP01,43,5900
B20270451,24.116,NP01,43,4900
B20270452,9.552,NP01,43,6250
B20270453,75.606,NP01,43,4900
B20270454,11.68,NP01,43,8230
B20270455,12.675,NP01,43,5000
B20270456,113.835,NP01,43,5300
B20270457,36.943,NP01,43,4780
B20270458,84.002,NP01,43,5900
B20270459,109.906,NP01,43,4900
B20270460,106.179,NP01,43,5900
B20270461,36.156,NP01,43,7000
B20270462,25.523,NP01,43,11000
B20270463,25.453,NP01,43,6150
B20270464,99.813,NP01,43,6900
B20270465,94.207,NP01,43,5700
B20270466,7.877,NP01,43,7750
B20270467,82.845,NP01,43,5080
B20270468,41.131,NP01,43,6900
B20270469,126.553,NP01,43,4900
B20270470,27.648,NP01,43,10060
B20270471,29.591,NP01,43,6600
B20270472,23.099,NP01,43,4901
B20270473,31.71,NP01,43,8970
B20270474,23.686,NP01,43,4901
B20270475,51.286,NP01,43,4900
B20270476,12.883,NP01,43,5900
B20270477,37.143,NP01,43,4900
B20270478,20.034,NP01,43,8970
B20270479,23.315,NP01,43,8970
B20270480,12.552,NP01,43,6400
B20270481,25.262,NP01,43,7900
B20270482,129.295,NP01,43,8970
B20270483,42.189,NP01,43,5900
B20270484,31.734,NP01,43,7750
B20270485,11.775,NP01,43,6100
B20270486,41.256,NP01,43,4900
B20270487,30.053,NP01,43,6400
B20270488,41.019,NP01,43,6800
B20270489,24.365,NP01,43,4900
B20270490,57.667,NP01,43,4900
B20270491,97.077,NP01,43,6400
B20270492,23.879,NP01,43,5600
B20270493,19.539,NP01,43,4900
B20270494,15.624,NP01,43,4700
B20270495,134.503,NP01,43,4900
B20270496,42.317,NP01,43,10900
B20270497,23.286,NP01,43,6900
B20270498,26.143,NP01,43,6350
B20270499,20.615,NP01,43,6100
B20270500,61.846,NP01,43,5900
B20270501,116.799,NP01,43,8050
B20270502,29.085,NP01,43,7080
B20270503,134.083,NP01,43,5900
B20270504,18.76,NP01,43,6360
B20270505,40.639,NP01,43,5900
B20270506,46.902,NP01,43,5700
B20270507,7.906,NP01,43,4900
B20270508,30.785,NP01,43,5900
B20270509,137.62,NP01,43,6400
B20270510,60.632,NP01,43,6900
B20270511,24.581,NP01,43,4900
B20270512,17.165,NP01,43,4900
B20270513,35.856,NP01,43,4400
B20270514,24.364,NP01,43,4900
B20270515,24.045,NP01,43,4900
B20270516,28.991,NP01,43,7080
B20270517,53.02,NP01,43,4900
B20270518,35.601,NP01,43,5900
B20270519,23.899,NP01,43,5000
B20270520,18.722,NP01,43,5900
B20270521,41.178,NP01,43,4150
B20270522,24.817,NP01,43,4900
B20270523,22.584,NP01,43,7900
B20270524,15.911,NP01,43,7000
B20270525,91.294,NP01,43,9340
B20270526,38.904,NP01,43,4900
B20270527,17.021,NP01,43,4900
B20270528,82.049,NP01,43,7000
B20270529,24.401,NP01,43,4750
B20270530,69.871,NP01,43,4900
B20270531,62.161,NP01,43,5018
B20270532,41.729,NP01,43,6100
B20270533,38.843,NP01,43,5900
B20270534,63.163,NP01,43,4901
B20270535,90.594,NP01,43,4900
B20270536,31.48,NP01,43,4900
B20270537,24.482,NP01,43,8780
B20270538,49.623,NP01,43,4901
B20270539,38.938,NP01,43,6400
B20270540,19.689,NP01,43,7750
B20270541,86.494,NP01,43,5080
B20270542,18.792,NP01,43,5900
B20270543,39.788,NP01,43,4900
B20270544,82.857,NP01,43,6100
B20270545,90.184,NP01,43,7400
B20270546,41.088,NP01,43,5200
B20270547,12.335,NP01,43,6150
B20270548,25.22,NP01,43,6650
B20270549,124.41,NP01,43,4900
B20270550,16.585,NP01,43,4901
B20270551,45.163,NP01,43,5018
B20270552,36.21,NP01,43,5900
B20270553,36.649,NP01,43,4900
B20270554,48.409,NP01,43,10060
B20270555,17.23,NP01,43,4900
B20270556,43.554,NP01,43,7750
B20270557,73.739,NP01,43,7200
B20270558,53.057,NP01,43,5840
B20270559,24.558,NP01,43,6840
B20270560,23.093,NP01,43,4900
B20270561,26.774,NP01,43,4780
B20270562,45.631,NP01,43,7960
B20270563,137.837,NP01,43,5900
B20270564,57.454,NP01,43,4900
B20270565,100.82,NP01,43,7000
B20270566,18.191,NP01,43,4900
B20270567,23.041,NP01,43,4900
B20270568,28.512,NP01,43,4900
B20270569,11.738,NP01,43,5200
B20270570,14.804,NP01,43,5900
B20270571,127.352,NP01,43,4900
B20270572,93.806,NP01,43,3800
B20270573,106.541,NP01,43,4900
B20270574,16.818,NP01,43,7000
B20270575,33.513,NP01,43,4900
B20270576,25.021,NP01,43,4900
B20270577,137.921,NP01,43,5900
B20270578,23.915,NP01,43,6150
B20270579,48.233,NP01,43,4900
B20270580,23.718,NP01,43,6400
B20270581,25.642,NP01,43,5000
B20270582,15.233,NP01,43,5018
B20270583,10.095,NP01,43,6100
B20270584,42.392,NP01,43,6100
B20270585,11.755,NP01,43,4900
B20270586,60.429,NP01,43,4900
B20270587,28.241,NP01,43,5400
B20270588,12.242,NP01,43,4950
B20270589,41.981,NP01,43,6900
B20270590,22.537,NP01,43,4900
B20270591,85.868,NP01,43,6400
B20270592,78.473,NP01,43,4901
B20270593,117.058,NP01,43,4901
B20270594,110.895,NP01,43,5200
B20270595,40.185,NP01,43,6650
B20270596,25.016,NP01,43,6100
B20270597,40.121,NP01,43,10680
B20270598,15.289,NP01,43,4900
B20270599,86.269,NP01,43,4900
B20270600,29.407,NP01,43,6650
B20270601,39.753,NP01,43,6250
B20270602,41.636,NP01,43,4900
B20270603,12.717,NP01,43,5000
B20270604,50.624,NP01,43,5400
B20270605,48.239,NP01,43,5900
B20270606,43.515,NP01,43,6900
B20270607,44.11,NP01,43,7000
B20270608,106.631,NP01,43,4901
B20270609,36.443,NP01,43,4900
B20270610,6.161,NP01,43,8150
B20270611,7.039,NP01,43,4900
B20270612,35.192,NP01,43,3800
B20270613,53.807,NP01,43,10900
B20270614,5.919,NP01,43,4900
B20270615,57.543,NP01,43,6300
B20270616,25.591,NP01,43,4600
B20270617,42.343,NP01,43,9340
B20270618,19.591,NP01,43,4900
B20270619,11.628,NP01,43,5900
B20270620,60.161,NP01,43,4900
B20270621,11.801,NP01,43,6400
B20270622,42.921,NP01,43,6350
B20270623,10.066,NP01,43,3900
B20270624,29.587,NP01,43,7750
B20270625,48.31,NP01,43,4900
B20270626,39.341,NP01,43,4900
B20270627,48.465,NP01,43,4900
B20270628,20.075,NP01,43,5060
B20270629,23.843,NP01,43,4900
B20270630,59.117,NP01,43,7750
B20270631,65.712,NP01,43,7900
B20270632,72.984,NP01,43,6400
B20270633,24.515,NP01,43,6100
B20270634,29.99,NP01,43,4901
B20270635,24.733,NP01,43,4900
B20270636,39.908,NP01,43,6650
B20270637,29.017,NP01,43,7080
B20270638,81.764,NP01,43,4900
B20270639,30.238,NP01,43,5900
B20270640,12.158,NP01,43,4900
B20270641,138.584,NP01,43,7750
B20270642,55.5,NP01,43,4900
B20270643,12.334,NP01,43,6400
B20270644,5.936,NP01,43,4900
B20270645,109.475,NP01,43,4900
B20270646,15.372,NP01,43,6780
B20270647,39.394,NP01,43,4901
B20270648,9.955,NP01,43,6100
B20270649,26.137,NP01,43,6400
B20270650,34.991,NP01,43,4900
B20270651,4.751,NP01,43,5900
B20270652,15.993,NP01,43,8900
B20270653,37.901,NP01,43,6100
B20270654,30.254,NP01,43,5400
B20270655,19.987,NP01,43,5700
B20270656,111.188,NP01,43,4900
B20270657,63.378,NP01,43,4900
B20270658,87.602,NP01,43,4900
B20270659,40.704,NP01,43,8970
B20270660,19.048,NP01,43,5200
B20270661,30.502,NP01,43,5600
B20270662,44.169,NP01,43,5900
B20270663,29.898,NP01,43,4900
B20270664,115.15,NP01,43,5600
B20270665,24.66,NP01,43,7900
B20270666,44.364,NP01,43,4900
B20270667,28.388,NP01,43,4900
B20270668,15.793,NP01,43,4900
B20270669,33.013,NP01,43,8400
B20270670,24.103,NP01,43,6550
B20270671,31.778,NP01,43,5600
B20270672,97.686,NP01,43,4900
B20270673,24.015,NP01,43,7000
B20270674,36.794,NP01,43,4900
B20270675,64.806,NP01,43,4900
B20270676,146.879,NP01,43,4900
B20270677,35.567,NP01,43,4450
B20270678,30.615,NP01,43,6900
B20270679,89.247,NP01,43,4525
B20270680,119.166,NP01,43,8150
B20270681,31.11,NP01,43,4900
B20270682,16.694,NP01,43,4900
B20270683,41.019,NP01,43,6100
B20270684,64.255,NP01,43,4901
B20270685,47.1,NP01,43,7960
B20270686,84.24,NP01,43,5900
B20270687,38.672,NP01,43,5400
B20270688,137.747,NP01,43,4901
B20270689,35.279,NP01,43,6400
B20270690,70.742,NP01,43,6100
B20270691,34.712,NP01,43,4900
B20270692,114.657,NP01,43,7000
B20270693,49.948,NP01,43,5900
B20270694,4.098,NP01,43,4750
B20270695,14.863,NP01,43,4900
B20270696,29.516,NP01,43,5150
B20270697,12.273,NP01,43,4900
B20270698,28.794,NP01,43,5900
B20270699,17.626,NP01,43,4900
B20270700,18.261,NP01,43,4900
B20270701,53.547,NP01,43,4900
B20270702,87.187,NP01,43,7960
B20270703,30.064,NP01,43,4900
B20270704,21.045,NP01,43,5000
B20270705,66.074,NP01,43,4500
B20270706,108.982,NP01,43,4900
B20270707,61.081,NP01,43,8230
B20270708,116.555,NP01,43,4750
B20270709,12.05,NP01,43,4900
B20270710,46.116,NP01,43,5900
B20270711,60.663,NP01,43,4900
B20270712,66.087,NP01,43,4900
B20270713,78.458,NP01,43,4900
B20270714,25.829,NP01,43,5360
B20270715,32.969,NP01,43,10060
B20270716,30.757,NP01,43,6350
B20270717,129.613,NP01,43,5000
B20270718,88.161,NP01,43,6100
B20270719,17.764,NP01,43,10000
B20270720,30.354,NP01,43,5900
B20270721,17.924,NP01,43,4950
B20270722,54.541,NP01,43,4900
B20270723,37.861,NP01,43,7900
B20270724,23.214,NP01,43,4900
B20270725,24.246,NP01,43,6400
B20270726,29.343,NP01,43,4900
B20270727,111.562,NP01,43,4900
B20270728,5.225,NP01,43,4900
B20270729,59.068,NP01,43,5900
B20270730,49.032,NP01,43,4900
B20270731,34.723,NP01,43,6400
B20270732,54.686,NP01,43,6400
B20270733,44.526,NP01,43,6780
B20270734,21.974,NP01,43,6400
B20270735,43.315,NP01,43,4940
B20270736,32.245,NP01,43,5900
B20270737,116.752,NP01,43,4900
B20270738,49.305,NP01,43,7000
B20270739,91.007,NP01,43,6900
B20270740,35.085,NP01,43,6200
B20270741,54.962,NP01,43,4900
B20270742,31.91,NP01,43,4900
B20270743,29.827,NP01,43,5080
B20270744,12.04,NP01,43,4900
B20270745,24.15,NP01,43,6400
B20270746,22.689,NP01,43,8050
B20270747,79.077,NP01,43,4900
B20270748,46.837,NP01,43,6400
B20270749,41.031,NP01,43,6600
B20270750,16.168,NP01,43,10900
B20270751,11.524,NP01,43,4900
B20270752,25.462,NP01,43,4900
B20270753,58.005,NP01,43,6400
B20270754,36.524,NP01,43,6400
B20270755,48.4,NP01,43,4900
B20270756,67.529,NP01,43,9340
B20270757,15.825,NP01,43,4900
B20270758,23.772,NP01,43,4900
B20270759,15.937,NP01,43,4900
B20270760,139.803,NP01,43,6100
B20270761,31.378,NP01,43,4900
B20270762,64.173,NP01,43,8400
B20270763,36.181,NP01,43,5400
B20270764,17.537,NP01,43,6100
B20270765,25.793,NP01,43,6100
B20270766,64.649,NP01,43,4940
B20270767,64.007,NP01,43,4900
B20270768,29.594,NP01,43,4900
B20270769,40.823,NP01,43,4550
B20270770,24.115,NP01,43,4900
B20270771,4.795,NP01,43,6900
B20270772,43.074,NP01,43,4900
B20270773,18.126,NP01,43,5000
B20270774,120.849,NP01,43,5900
B20270775,124.306,NP01,43,6400
